="0123456789101112";15/10/2014;14/11/2014;65;13/11/2014;123,45 EUR

Date de l'opération;Libellé;Détail de l'écriture;Montant de l'opération;Devise
12/11/2014;FRAIS VIR INTL REC;FRAIS VIR INTL RECU        311R62682 REF 3112924 1 VIREMENT(S)          POUR  16,50 1 COMMISSION DE CHANGE POUR 14,00 ;-30,50;EUR
30/10/2014;CARTE X1234 25/10 ;CARTE X1234 25/10 SKYPE COMMUNICATIO 10,00 USD LUXEMBOURG 1 EUR=1,2674 USD COMMERCE ELECTRONIQUE ;-7,89;EUR
30/10/2014;CARTE X1234 26/10 ;CARTE X1234 26/10 AMAZON PAYMENTS COMMERCE ELECTRONIQUE   ;-20,90;EUR
29/10/2014;CARTE X1234 28/10 ;CARTE X1234 28/10 BASILE       01    ;-16,90;EUR
28/10/2014;CARTE X1234 27/10 ;CARTE X1234 27/10 AMAZON PAYMENTS COMMERCE ELECTRONIQUE   ;-57,41;EUR
28/10/2014;CARTE X1234 26/10 ;CARTE X1234 26/10 AMAZON PAYMENTS COMMERCE ELECTRONIQUE   ;-12,60;EUR
28/10/2014;CARTE X1234 26/10 ;CARTE X1234 26/10 AMAZON S.E. COMMERCE ELECTRONIQUE   ;-11,35;EUR
28/10/2014;CARTE X1234 26/10 ;CARTE X1234 26/10 AMAZON S.E. COMMERCE ELECTRONIQUE   ;-9,25;EUR
21/10/2014;COTISATION JAZZ;COTISATION JAZZ    ;-15,70;EUR
20/10/2014;CARTE X1234 17/10 ;CARTE X1234 17/10 ITUNES.COM/BILL 0,89 EUR LUXEMBOURG COMMERCE ELECTRONIQUE  ;-0,89;EUR
17/10/2014;FRAIS VIR INTL REC;FRAIS VIR INTL RECU        288R66975 REF 2882923 1 VIREMENT(S)          POUR  16,50 1 COMMISSION DE CHANGE POUR 14,00 ;-30,50;EUR
17/10/2014;OPTION INTERNAT.N2;OPTION INTERNAT.N2    ;-11,00;EUR
